Fruit,Peach Cups,45
Fruit,Pineapple Cans,5
Fruit,Fruit Cocktail Cans,14
Fruit,Cranberry Sauce Cans,25
Fruit,Pumpkin Puree Cans,3
Fruit,Apple Sauce Cups,1
Vegetable,Yam Cans,17
Vegetable,Tomatoes and Chilies Cans,15
Vegetable,Pickled Beets Cans,3
Vegetable,Jalapenos Cans,1
Vegetable,Peas and Carrots Cans,2
Vegetable,Sliced Carrots Cans,1
Vegetable,Green Beans Cans,67
Vegetable,Corn Cans,33
Vegetable,Peas Cans,29
Vegetable,Spinach Alfredo Sauce Can,1
Vegetable,Olives Cans,1
Vegetable,Bean Sprouts Cans,3
Breakfast,Oatmeal Packets,30
Breakfast,Low Sugar Oatmeal Packets,30
Breakfast,Oat and Huney Bars,160
Breakfast,Honey Bunches of Oats Boxes,2
Breakfast,Cheerios Box,1
Breakfast,Checks Box,1
Breakfast,Apple Jacks Box,3
Breakfast,Froot Loops Box,1
Breakfast,Kicks Cereal Box,1
Breakfast,Gluten-Free Oats Bag,2
Breakfast,Grits Box,2
Protein,Chicken Breast Can,4
Protein,Potted Meat Can,33
Protein,Vienna Sausages Can,18
Protein,Sardines Can,1
Protein,Tuna Can,103
Protein,Protien Bars,52
Protein,Quinoa Bag,1
Protein,Spam Can,10
Lunch,Chicken Soup Can,2
Lunch,Chili Can,13
Lunch,Rice-A-Roni Box,12
Lunch,Savory Herb Stuffing Mix Box,6
Lunch,Chicken Stuffing Mix Box,13
Lunch,Cornbread Stuffing Mix Box,11
Lunch,Turkey Stuffing Mix Box,28
Lunch,Mac and Cheese box,1
Lunch,Mac and Cheese cup,24
Lunch,Turkey Gravy Jar,6
Beans,Chickpeas Can,3
Beans,Black Beans Can,11
Beans,Refried Beans Can,2
Beans,Cannellini Beans Jar,1
Beans,Pork and Beans Can,2
Beans,White Hominy Can,2
Drinks,Mango Lemonade Bottle,1
Drinks,Orange Juice Bottle,4
Drinks,Apple Cider Mix Packets,3
Drinks,Great Tea Box,12
Drinks,Lipton Tea Box,25
Drinks,Spearmint Tea Box,1
Drinks,Chocolate Tea Box,1
Rice/Pasta,Rice Box,8
Rice/Pasta,Chickpea Pasta Box,1
Rice/Pasta,Gluten-Free Mac & Cheese Box,2
Rice/Pasta,Gluten-Free Penne Box,1
Rice/Pasta,Gluten-Free Penne Bag,1
Rice/Pasta,Rice Noodles Bag,1
Snacks,Fried Onions Bag,1
Snacks,Lime Jell-O Box,1
Snacks,Pineapple Jell-O Box,2
Snacks,Pudding Box,1
Snacks,Cheez-its Bag,42
Extra,Flour Bag,2
Extra,Salt Can,1
Extra,Sugar Bag,2
Extra,Sugar Box,2
Extra,Syrup Bottle,3